学生ID,姓名,班级,年级,科目,考试日期,成绩,出勤率,作业分,任课教师
STU-001,学生001,一班,高一,英语,2025-03-01,67,0.86,70,教师A
STU-002,学生002,二班,高一,物理,2025-03-01,69,0.87,75,教师B
STU-003,学生003,三班,高一,化学,2025-03-01,76,0.88,80,教师C
STU-004,学生004,四班,高一,历史,2025-03-01,83,0.89,85,教师D
STU-005,学生005,五班,高一,语文,2025-03-01,90,0.90,90,教师E
STU-006,学生006,一班,高一,数学,2025-03-01,62,0.91,95,教师F
STU-007,学生007,二班,高一,英语,2025-03-08,69,0.92,72,教师A
STU-008,学生008,三班,高一,物理,2025-03-08,76,0.93,77,教师B
STU-009,学生009,四班,高一,化学,2025-03-08,83,0.94,82,教师C
STU-010,学生010,五班,高一,历史,2025-03-08,,0.95,87,教师D
STU-011,学生011,一班,高一,语文,2025-03-08,62,0.96,92,教师E
STU-012,学生012,二班,高一,数学,2025-03-08,69,0.97,97,教师F
STU-013,学生013,四班,高一,英语,2025-03-15,76,0.98,74,教师A
STU-014,学生014,五班,高一,物理,2025-03-15,83,0.99,79,教师B
STU-015,学生015,一班,高一,化学,2025-03-15,90,0.86,84,教师C
STU-016,学生016,二班,高一,历史,2025-03-15,62,0.87,89,教师D
STU-017,学生017,三班,高一,语文,2025-03-15,69,0.88,94,教师E
STU-018,学生018,四班,高一,数学,2025-03-15,76,0.89,71,教师F
STU-019,学生019,五班,高一,英语,2025-03-22,88,0.90,76,教师A
STU-020,学生020,一班,高一,物理,2025-03-22,90,0.91,81,教师B
STU-021,学生021,二班,高一,化学,2025-03-22,62,0.92,86,教师C
STU-022,学生022,三班,高一,历史,2025-03-22,69,0.93,91,教师D
STU-023,学生023,四班,高一,语文,2025-03-22,76,0.94,96,教师E
STU-024,学生024,五班,高一,数学,2025-03-22,83,0.95,73,教师F
STU-025,学生025,二班,高一,英语,2025-03-29,90,0.96,78,教师A
STU-026,学生026,三班,高一,物理,2025-03-29,62,0.97,83,教师B
STU-027,学生027,四班,高一,化学,2025-03-29,69,0.98,88,教师C
STU-028,学生028,五班,高一,历史,2025-03-29,81,0.99,93,教师D
STU-029,学生029,,高一,语文,2025-03-29,83,0.86,70,教师E
STU-030,学生030,二班,高一,数学,2025-03-29,90,0.87,75,教师F
STU-031,学生031,三班,高一,英语,2025-04-05,62,0.88,80,教师A
STU-032,学生032,四班,高一,物理,2025-04-05,69,0.89,85,教师B
STU-033,学生033,五班,高一,化学,2025-04-05,76,0.90,90,教师C
STU-034,学生034,一班,高一,历史,2025-04-05,83,0.91,95,教师D
STU-035,学生035,二班,高一,语文,2025-04-05,90,0.92,72,教师E
STU-036,学生036,三班,高一,数学,2025-04-05,62,0.93,77,教师F
STU-037,学生037,五班,高二,英语,2025-04-12,74,0.94,82,教师A
STU-038,学生038,一班,高二,物理,2025-04-12,76,0.95,87,教师B
STU-039,学生039,二班,高二,化学,2025-04-12,83,0.96,92,教师C
STU-040,学生040,三班,高二,历史,2025-04-12,90,0.97,97,教师D
STU-001,学生001,四班,高二,语文,2025-04-12,62,0.98,74,教师E
STU-002,学生002,五班,高二,数学,2025-04-12,69,0.99,79,教师F
STU-003,学生003,一班,高二,英语,2025-04-19,76,0.86,84,教师A
STU-004,学生004,二班,高二,物理,2025-04-19,83,0.87,89,教师B
STU-005,学生005,三班,高二,化学,2025-04-19,90,0.88,94,教师C
STU-006,学生006,四班,高二,历史,2025-04-19,67,0.89,71,教师D
STU-007,学生007,五班,高二,语文,2025-04-19,69,0.90,76,教师E
STU-008,学生008,一班,高二,数学,,76,0.91,81,教师F
STU-009,学生009,三班,高二,英语,2025-04-26,83,0.92,86,教师A
STU-010,学生010,四班,高二,物理,2025-04-26,90,0.93,91,教师B
STU-011,学生011,五班,高二,化学,2025-04-26,62,0.94,96,教师C
STU-012,学生012,一班,高二,历史,2025-04-26,69,0.95,73,教师D
STU-013,学生013,二班,高二,语文,2025-04-26,76,0.96,78,教师E
STU-014,学生014,三班,高二,数学,2025-04-26,83,0.97,83,教师F
STU-015,学生015,四班,高二,英语,2025-05-03,95,0.98,88,教师A
STU-016,学生016,五班,高二,物理,2025-05-03,62,0.99,93,教师B
STU-017,学生017,一班,高二,化学,2025-05-03,69,0.86,70,教师C
STU-018,学生018,二班,高二,历史,2025-05-03,76,0.87,75,教师D
STU-019,学生019,三班,高二,语文,2025-05-03,83,0.88,80,教师E
STU-020,学生020,四班,高二,数学,2025-05-03,90,0.89,85,教师F
STU-021,学生021,一班,高二,英语,2025-05-10,62,0.90,90,教师A
STU-022,学生022,二班,高二,物理,2025-05-10,69,0.91,95,教师B
STU-023,学生023,三班,高二,化学,2025-05-10,76,0.92,72,教师C
STU-024,学生024,四班,高二,历史,2025-05-10,88,0.93,77,教师D
STU-025,学生025,五班,高二,语文,2025-05-10,90,0.94,82,教师E
STU-026,学生026,一班,高二,数学,2025-05-10,62,0.95,87,教师F
STU-027,学生027,二班,高二,英语,2025-05-17,69,0.96,92,教师A
STU-028,学生028,三班,高二,物理,2025-05-17,76,0.97,97,教师B
STU-029,学生029,四班,高二,化学,2025-05-17,83,0.98,74,教师C
STU-030,学生030,五班,高二,历史,2025-05-17,90,0.99,79,教师D
STU-031,学生031,一班,高二,语文,2025-05-17,62,0.86,84,教师E
STU-032,学生032,二班,高二,,2025-05-17,69,0.87,89,教师F
STU-033,学生033,四班,高三,英语,2025-05-24,81,0.88,94,教师A
STU-034,学生034,五班,高三,物理,2025-05-24,83,0.89,71,教师B
STU-035,学生035,一班,高三,化学,2025-05-24,90,0.90,76,教师C
STU-036,学生036,二班,高三,历史,2025-05-24,62,0.91,81,教师D
STU-037,学生037,三班,高三,语文,2025-05-24,69,0.92,86,教师E
STU-038,学生038,四班,高三,数学,2025-05-24,76,0.93,91,教师F
STU-039,学生039,五班,高三,英语,2025-05-31,83,0.94,96,教师A
STU-040,学生040,一班,高三,物理,2025-05-31,90,0.95,73,教师B
STU-001,学生001,二班,高三,化学,2025-05-31,62,0.96,78,教师C
STU-002,学生002,三班,高三,历史,2025-05-31,74,0.97,83,教师D
STU-003,学生003,四班,高三,语文,2025-05-31,76,0.98,88,教师E
STU-004,学生004,五班,高三,数学,2025-05-31,83,0.99,93,教师F
STU-005,学生005,二班,高三,英语,2025-06-07,90,0.86,70,教师A
STU-006,学生006,三班,高三,物理,2025-06-07,62,0.87,75,教师B
STU-007,学生007,四班,高三,化学,2025-06-07,69,0.88,80,教师C
STU-008,学生008,五班,高三,历史,2025-06-07,76,0.89,85,教师D
STU-009,学生009,一班,高三,语文,2025-06-07,83,0.90,90,教师E
STU-010,学生010,二班,高三,数学,2025-06-07,90,0.91,95,教师F
STU-011,学生011,三班,高三,英语,2025-06-14,67,0.92,72,教师A
