商品ID,上架日期,商品名称,品牌,平台,城市,成色,规格,价格,原价,卖家类型
UP-0001,2025-04-01,商品A,品牌A,平台A,杭州,全新未拆,512GB,5639,5999,个人卖家
UP-0002,2025-04-02,商品B,品牌B,平台B,南京,95新,标准版,6524,7999,认证商家
UP-0003,2025-04-03,商品C,品牌C,平台C,武汉,9成新,高配版,1657,2399,门店寄售
UP-0004,2025-04-04,商品D,品牌D,平台D,西安,8成新,64GB,1694,2999,个人卖家
UP-0005,2025-04-05,商品E,品牌E,平台E,青岛,轻微使用痕迹,128GB,535,1299,认证商家
UP-0006,2025-04-06,商品F,品牌F,平台A,上海,维修过,256GB,1330,3499,门店寄售
UP-0007,2025-04-07,商品G,品牌G,平台B,北京,全新未拆,512GB,5054,5600,个人卖家
UP-0008,2025-04-08,商品H,品牌H,平台C,广州,95新,标准版,328,699,认证商家
UP-0009,2025-04-09,商品I,品牌I,平台D,深圳,9成新,高配版,3024,4200,门店寄售
UP-0010,2025-04-10,商品J,品牌J,平台E,成都,8成新,64GB,913,1580,个人卖家
UP-0011,2025-04-11,商品K,品牌A,平台A,杭州,轻微使用痕迹,128GB,3465,6799,认证商家
UP-0012,2025-04-12,商品L,品牌B,平台B,南京,维修过,256GB,1400,3500,门店寄售
UP-0013,2025-04-13,商品A,品牌C,平台C,武汉,全新未拆,512GB,5499,5999,个人卖家
UP-0014,2025-04-14,商品B,品牌D,平台D,西安,95新,标准版,6384,7999,认证商家
UP-0015,2025-04-15,商品C,品牌E,平台E,青岛,9成新,高配版,1517,2399,门店寄售
UP-0016,2025-04-16,商品D,品牌F,平台A,上海,8成新,64GB,1554,2999,个人卖家
UP-0017,2025-04-17,商品E,品牌G,平台B,,轻微使用痕迹,128GB,675,1299,认证商家
UP-0018,2025-04-18,商品F,品牌H,平台C,广州,维修过,256GB,1470,3499,门店寄售
UP-0019,2025-04-19,商品G,品牌I,平台D,深圳,全新未拆,512GB,5194,5600,个人卖家
UP-0020,2025-04-20,商品H,品牌J,平台E,成都,95新,标准版,468,699,认证商家
UP-0021,2025-04-21,商品I,品牌A,平台A,杭州,9成新,高配版,2884,4200,门店寄售
