商品ID,上架日期,商品名称,品牌,平台,城市,成色,规格,价格,原价,卖家类型
<<<<<<< HEAD
UP-0001,2025-04-01,iPhone 13,Nintendo,转转,杭州,全新未拆,512GB,5639,5999,个人卖家
UP-0002,2025-04-02,MacBook Air,Dyson,本地论坛,南京,95新,标准版,6524,7999,认证商家
UP-0003,2025-04-03,Switch OLED,Xiaomi,同城群,武汉,9成新,高配版,1657,2399,门店寄售
UP-0004,2025-04-04,戴森吹风机,Canon,二手店,西安,8成新,64GB,1694,2999,个人卖家
UP-0005,2025-04-05,索尼耳机,Logitech,闲鱼,青岛,轻微使用痕迹,128GB,535,1299,认证商家
UP-0006,2025-04-06,小米电视,Giant,转转,上海,维修过,256GB,1330,3499,门店寄售
UP-0007,2025-04-07,佳能相机,MobiGarden,本地论坛,北京,全新未拆,512GB,5054,5600,个人卖家
UP-0008,2025-04-08,机械键盘,Delonghi,同城群,广州,95新,标准版,328,699,认证商家
UP-0009,2025-04-09,公路自行车,Apple,二手店,深圳,9成新,高配版,3024,4200,门店寄售
UP-0010,2025-04-10,露营帐篷,Sony,闲鱼,成都,8成新,64GB,913,1580,个人卖家
UP-0011,2025-04-11,iPad Pro,Nintendo,转转,杭州,轻微使用痕迹,128GB,3465,6799,认证商家
UP-0012,2025-04-12,咖啡机,Dyson,本地论坛,南京,维修过,256GB,1400,3500,门店寄售
UP-0013,2025-04-13,iPhone 13,Xiaomi,同城群,武汉,全新未拆,512GB,5499,5999,个人卖家
UP-0014,2025-04-14,MacBook Air,Canon,二手店,西安,95新,标准版,6384,7999,认证商家
UP-0015,2025-04-15,Switch OLED,Logitech,闲鱼,青岛,9成新,高配版,1517,2399,门店寄售
UP-0016,2025-04-16,戴森吹风机,Giant,转转,上海,8成新,64GB,1554,2999,个人卖家
UP-0017,2025-04-17,索尼耳机,MobiGarden,本地论坛,,轻微使用痕迹,128GB,675,1299,认证商家
UP-0018,2025-04-18,小米电视,Delonghi,同城群,广州,维修过,256GB,1470,3499,门店寄售
UP-0019,2025-04-19,佳能相机,Apple,二手店,深圳,全新未拆,512GB,5194,5600,个人卖家
UP-0020,2025-04-20,机械键盘,Sony,闲鱼,成都,95新,标准版,468,699,认证商家
UP-0021,2025-04-21,公路自行车,Nintendo,转转,杭州,9成新,高配版,2884,4200,门店寄售
UP-0022,2025-04-22,露营帐篷,Dyson,本地论坛,南京,8成新,64GB,773,1580,个人卖家
UP-0023,2025-04-23,iPad Pro,Xiaomi,同城群,武汉,轻微使用痕迹,128GB,3325,6799,认证商家
UP-0024,2025-04-24,咖啡机,Canon,二手店,西安,维修过,256GB,1260,3500,门店寄售
UP-0025,2025-04-25,iPhone 13,Logitech,闲鱼,青岛,全新未拆,512GB,5639,5999,个人卖家
UP-0026,2025-04-26,MacBook Air,Giant,转转,上海,95新,标准版,6524,7999,认证商家
UP-0027,2025-04-27,Switch OLED,MobiGarden,本地论坛,北京,9成新,高配版,1657,2399,门店寄售
UP-0028,2025-04-28,戴森吹风机,Delonghi,同城群,广州,8成新,64GB,1694,2999,个人卖家
UP-0029,2025-04-29,索尼耳机,Apple,二手店,深圳,轻微使用痕迹,128GB,535,1299,认证商家
UP-0030,2025-04-30,小米电视,Sony,闲鱼,成都,维修过,256GB,1330,3499,门店寄售
UP-0031,2025-05-01,佳能相机,Nintendo,转转,杭州,全新未拆,512GB,5054,5600,个人卖家
UP-0032,2025-05-02,机械键盘,Dyson,本地论坛,南京,95新,标准版,328,699,认证商家
UP-0033,2025-05-03,公路自行车,Xiaomi,同城群,武汉,9成新,高配版,3024,4200,门店寄售
UP-0034,2025-05-04,露营帐篷,Canon,二手店,西安,8成新,64GB,,1580,个人卖家
UP-0035,2025-05-05,iPad Pro,Logitech,闲鱼,青岛,轻微使用痕迹,128GB,3465,6799,认证商家
UP-0036,2025-05-06,咖啡机,Giant,转转,上海,维修过,256GB,1400,3500,门店寄售
UP-0037,2025-05-07,iPhone 13,MobiGarden,本地论坛,北京,全新未拆,512GB,5499,5999,个人卖家
UP-0038,2025-05-08,MacBook Air,Delonghi,同城群,广州,95新,标准版,6384,7999,认证商家
UP-0039,2025-05-09,Switch OLED,Apple,二手店,深圳,9成新,高配版,1517,2399,门店寄售
UP-0040,2025-05-10,戴森吹风机,Sony,闲鱼,成都,8成新,64GB,1554,2999,个人卖家
UP-0041,2025-05-11,索尼耳机,Nintendo,转转,杭州,轻微使用痕迹,128GB,675,1299,认证商家
UP-0042,2025-05-12,小米电视,Dyson,本地论坛,南京,维修过,256GB,1470,3499,门店寄售
UP-0043,2025-05-13,佳能相机,Xiaomi,同城群,武汉,全新未拆,512GB,5194,5600,个人卖家
UP-0044,2025-05-14,机械键盘,Canon,二手店,西安,95新,标准版,468,699,认证商家
UP-0045,2025-05-15,公路自行车,Logitech,闲鱼,青岛,9成新,高配版,2884,4200,门店寄售
UP-0046,2025-05-16,露营帐篷,Giant,转转,上海,8成新,64GB,773,1580,个人卖家
UP-0047,2025-05-17,iPad Pro,MobiGarden,本地论坛,北京,轻微使用痕迹,128GB,3325,6799,认证商家
UP-0048,2025-05-18,咖啡机,Delonghi,同城群,广州,维修过,256GB,1260,3500,门店寄售
UP-0049,2025-05-19,iPhone 13,Apple,二手店,深圳,全新未拆,512GB,5639,5999,个人卖家
UP-0050,2025-05-20,MacBook Air,Sony,闲鱼,成都,95新,标准版,6524,7999,认证商家
UP-0051,2025-05-21,Switch OLED,Nintendo,转转,杭州,9成新,高配版,1657,2399,门店寄售
UP-0052,2025-05-22,戴森吹风机,Dyson,本地论坛,南京,8成新,64GB,1694,2999,个人卖家
UP-0053,2025-05-23,索尼耳机,Xiaomi,同城群,武汉,,128GB,535,1299,认证商家
UP-0054,2025-05-24,小米电视,Canon,二手店,西安,维修过,256GB,1330,3499,门店寄售
UP-0055,2025-05-25,佳能相机,Logitech,闲鱼,青岛,全新未拆,512GB,5054,5600,个人卖家
UP-0056,2025-05-26,机械键盘,Giant,转转,上海,95新,标准版,328,699,认证商家
UP-0057,2025-05-27,公路自行车,MobiGarden,本地论坛,北京,9成新,高配版,3024,4200,门店寄售
